tstamp,name,url,num_datasets,num_groups,num_organizations,ckan_version,extensions
2026-08-30,us-department-of-education,https://data.ed.gov,1094,29,55,2.9.9,"[""saml2auth"", ""datastore"", ""xloader"", ""dataexplorer_view"", ""dataexplorer_table_view"", ""dataexplorer_chart_view"", ""dataexplorer_map_view"", ""ckan_harvester"", ""datajson_harvest"", ""ed"", ""edharvest"", ""eddatajsonharvest"", ""ed_sources"", ""ed_stats"", ""resource_proxy"", ""ed_hierarchy_display"", ""ed_hierarchy_form"", ""documentation"", ""ed_collections"", ""ed_data_explorers"", ""ed_format_translator"", ""ed_resource_approval"", ""deadoralive"", ""pages"", ""showcase"", ""envvars""]"
2026-08-30,marcus-institute,https://data.hsl.harvard.edu,0,0,0,,
2026-08-30,vital-strategies,https://vital-healthdata.org,17,6,6,2.10.4,"[""image_view"", ""text_view"", ""recline_view"", ""datastore"", ""datapusher"", ""resource_proxy"", ""geojson_view"", ""querytool""]"
2026-08-30,bira-iasb-data-repository,https://data.aeronomie.be,0,0,0,,
2026-08-30,mapaction-data-portal,https://maps.mapaction.org,4576,0,0,2.7.12,"[""envvars"", ""stats"", ""text_view"", ""image_view"", ""pdf_view"", ""recline_view"", ""webpage_view"", ""mapactiontheme"", ""mapactionimporter"", ""mapactionevent"", ""locationgroup"", ""mapactiongeorss"", ""userautoadd"", ""datasetversions"", ""datasetthumbnail"", ""syndicate"", ""googleauth"", ""googleanalytics"", ""mapactionschemas"", ""scheming_datasets"", ""repeating""]"
2026-08-30,dathere-data-catalog,https://data.dathere.com/,0,0,0,,
2026-08-30,city-of-ann-arbor,https://data.a2gov.org/,0,0,0,,
2026-08-30,transport-data-commons,https://portal.transport-data.org/,0,0,0,,
2026-08-30,open-data-northern-ireland,https://www.opendatani.gov.uk,0,0,0,,
2026-08-30,ssen,https://data.ssen.co.uk/,0,0,0,,
2026-08-30,eu-data-portal,https://gimi9.com,0,0,0,,
2026-08-30,geodata-gov-gr-geodata-gov-gr,http://geodata.gov.gr,0,0,0,,
2026-08-30,open-data-ifro-dados-abertos-ifro,https://dados.ifro.edu.br,23,11,1,2.6.0,"[""stats"", ""text_view"", ""image_view"", ""recline_view"", ""datastore"", ""recline_grid_view""]"
2026-08-30,datosabiertos-lapaz-bo,https://datosabiertos.lapaz.bo,0,0,0,,
2026-08-30,canada-open-data,https://search.open.canada.ca/opendata/,0,0,0,,
2026-08-30,data-gov,https://catalog.data.gov,0,0,0,,
2026-08-30,datahubzamgacat,https://data.hub.zamg.ac.at,0,0,0,,
2026-08-30,the-queen-sirikit-department-of-sericulture-data-catalog,http://catalog.qsds.go.th,202,4,14,2.10.7,"[""thai_gdc"", ""showcase"", ""stats"", ""opendstats"", ""activity"", ""image_view"", ""datatables_view"", ""text_view"", ""webpage_view"", ""resource_proxy"", ""geo_view"", ""geojson_view"", ""shp_view"", ""xloader"", ""datastore"", ""pdf_view"", ""dcat"", ""dcat_json_interface"", ""structured_data"", ""scheming_datasets"", ""hierarchy_display"", ""hierarchy_form""]"
2026-08-30,edge-open-data-portal,https://edge.durban,0,0,0,,
2026-08-30,avinor-data-catalog-ckan,https://data.avinor.no,0,0,0,,
2026-08-30,ogsl-data-catalogue,https://catalogue.slgo.ca,0,0,0,,
2026-08-30,shizuoka-city-open-data-catalog-site,https://dataset.city.shizuoka.jp,0,0,0,,
2026-08-30,mooka-city-open-data-catalog-site,https://opendata.city.moka.lg.jp,0,0,0,,
2026-08-30,kitamoto-city-open-data-portal-site-kitamoto-open-data,https://opendata.city.kitamoto.saitama.jp,0,0,0,,
2026-08-30,pasaman-barat-data-portal,https://data.pasamanbaratkab.go.id,0,0,0,,
2026-08-30,openscience-eu-datahub,https://datahub.openscience.eu,23,0,3,2.10.1,"[""envvars"", ""image_view"", ""text_view"", ""recline_view"", ""datastore"", ""datapusher""]"
2026-08-30,ecai-ckan-portal,https://ecaidata.org,0,0,0,,
2026-08-30,open-data-and-information-portal,https://data.asc-csa.gc.ca,0,0,0,,
2026-08-30,greece-geodata-portal,http://geodata.gov.gr,0,0,0,,
2026-08-30,accounting-system-dairy-promotion-organization-of-thailand,https://opendata.dpo.go.th,1,4,3,2.10.7,"[""thai_gdc"", ""showcase"", ""stats"", ""opendstats"", ""activity"", ""image_view"", ""datatables_view"", ""text_view"", ""webpage_view"", ""resource_proxy"", ""geo_view"", ""geojson_view"", ""shp_view"", ""xloader"", ""datastore"", ""pdf_view"", ""dcat"", ""dcat_json_interface"", ""structured_data"", ""scheming_datasets"", ""hierarchy_display"", ""hierarchy_form""]"
2026-08-30,open-data-portal-of-the-ruhr-metropolis,http://opendata.ruhr,3188,31,26,2.10.5,"[""envvars"", ""resource_proxy"", ""datastore"", ""xloader"", ""image_view"", ""text_view"", ""datatables_view"", ""spatial_metadata"", ""spatial_query"", ""harvest"", ""ckan_harvester"", ""dcat"", ""dcatde"", ""dcat_rdf_harvester"", ""dcatde_rdf_harvester"", ""dcat_json_harvester"", ""dcat_json_interface"", ""structured_data"", ""geo_view"", ""geojson_view"", ""navigablemap"", ""choroplethmap"", ""pages"", ""pdf_view"", ""rvr"", ""scheming_datasets"", ""scheming_organizations""]"
2026-08-30,the-document-management-system,https://dms.hiv.health.gov.mw,197,8,2,2.11.0,"[""dms"", ""dataset_subscriptions"", ""activity"", ""short_urls"", ""scheming_datasets"", ""stats"", ""text_view"", ""image_view"", ""pdf_view"", ""geo_view"", ""webpage_view"", ""officedocs_view"", ""blob_storage"", ""authz_service"", ""pages""]"
2026-08-30,central-statistics-office-data,https://haleandhearty.staging.derilinx.com,0,0,0,,
2026-08-30,city-of-regina-open-data,https://open.regina.ca,0,0,0,,
2026-08-30,open-data-nepal,https://opendatanepal.com,0,0,0,,
2026-08-30,ufpel-open-data,http://dados.ufpel.tche.br,0,0,0,,
2026-08-30,hainan-data-portal,http://haidatas.cn,0,0,0,,
2026-08-30,open-data-ruhr,http://opendata.rvr.ruhr,3188,31,26,2.10.5,"[""envvars"", ""resource_proxy"", ""datastore"", ""xloader"", ""image_view"", ""text_view"", ""datatables_view"", ""spatial_metadata"", ""spatial_query"", ""harvest"", ""ckan_harvester"", ""dcat"", ""dcatde"", ""dcat_rdf_harvester"", ""dcatde_rdf_harvester"", ""dcat_json_harvester"", ""dcat_json_interface"", ""structured_data"", ""geo_view"", ""geojson_view"", ""navigablemap"", ""choroplethmap"", ""pages"", ""pdf_view"", ""rvr"", ""scheming_datasets"", ""scheming_organizations""]"
